kind	id	name	requirements	uses	sources
varbit	2870	ZEP_MULTI_GNO	=1	9	hot_air_balloons.tsv:50 2870=1 | hot_air_balloons.tsv:51 2870=1 | hot_air_balloons.tsv:52 2870=1 | hot_air_balloons.tsv:53 2870=1 | hot_air_balloons.tsv:54 2870=1 | hot_air_balloons.tsv:55 2870=1 | hot_air_balloons.tsv:56 2870=1 | hot_air_balloons.tsv:57 2870=1 | hot_air_balloons.tsv:75 2870=1
varbit	2871	ZEP_MULTI_CRAFT	=1	9	hot_air_balloons.tsv:21 2871=1 | hot_air_balloons.tsv:22 2871=1 | hot_air_balloons.tsv:23 2871=1 | hot_air_balloons.tsv:24 2871=1 | hot_air_balloons.tsv:25 2871=1 | hot_air_balloons.tsv:26 2871=1 | hot_air_balloons.tsv:27 2871=1 | hot_air_balloons.tsv:28 2871=1 | hot_air_balloons.tsv:66 2871=1
varbit	2872	ZEP_MULTI_VARR	=1	9	hot_air_balloons.tsv:31 2872=1 | hot_air_balloons.tsv:32 2872=1 | hot_air_balloons.tsv:33 2872=1 | hot_air_balloons.tsv:34 2872=1 | hot_air_balloons.tsv:35 2872=1 | hot_air_balloons.tsv:36 2872=1 | hot_air_balloons.tsv:37 2872=1 | hot_air_balloons.tsv:38 2872=1 | hot_air_balloons.tsv:69 2872=1
varbit	3264	BARBASSAULT_ARENANEWB	=11	1	teleportation_minigames.tsv:3 3264=11
varbit	3311	FRIS_QUEST	=340	3	transports.tsv:4241 3311=340 | transports.tsv:4242 3311=340 | transports.tsv:4243 3311=340
varbit	3598	ATJUN_MED_REWARD	=1	6	transports.tsv:5498 3598=1 | transports.tsv:5499 3598=1 | transports.tsv:5500 3598=1 | transports.tsv:5501 3598=1 | transports.tsv:5502 3598=1 | transports.tsv:5503 3598=1
varbit	3611	ATJUN_HARD_DONE	=2	1	teleportation_items.tsv:8 3611=2
varbit	3637	VM_KUDOS	>152	4	transports.tsv:961 3637>152 | transports.tsv:962 3637>152 | transports.tsv:963 3637>152 | transports.tsv:964 3637>152
varbit	3741	DRAGONSLAYER_CRANDOR_FOUND_SECRET_DOOR	=1	1	transports.tsv:4688 3741=1
varbit	3759	BRUT_FIRE	>1	2	transports.tsv:5043 3759>1 | transports.tsv:5044 3759>1
varbit	3910	CAMELOT_SPAWN	=1	1	teleportation_portals_poh.tsv:103 3910=1
varbit	4070	SPELLBOOK	=0;=1;=2;=3	76	teleportation_spells.tsv:4 4070=0 | teleportation_spells.tsv:6 4070=0 | teleportation_spells.tsv:9 4070=0 | teleportation_spells.tsv:12 4070=0 | teleportation_spells.tsv:17 4070=0 | teleportation_spells.tsv:18 4070=0 | teleportation_spells.tsv:20 4070=0 | teleportation_spells.tsv:21 4070=0 | teleportation_spells.tsv:23 4070=0 | teleportation_spells.tsv:24 4070=0 | teleportation_spells.tsv:26 4070=0 | teleportation_spells.tsv:27 4070=0 | teleportation_spells.tsv:29 4070=0 | teleportation_spells.tsv:30 4070=0 | teleportation_spells.tsv:32 4070=0 | teleportation_spells.tsv:33 4070=0 | teleportation_spells.tsv:35 4070=0 | teleportation_spells.tsv:36 4070=0 | teleportation_spells.tsv:38 4070=0 | teleportation_spells.tsv:39 4070=0 | teleportation_spells.tsv:41 4070=0 | teleportation_spells.tsv:42 4070=0 | teleportation_spells.tsv:44 4070=0 | teleportation_spells.tsv:45 4070=0 | teleportation_spells.tsv:48 4070=0 | teleportation_spells.tsv:50 4070=0 | teleportation_spells.tsv:53 4070=0 | teleportation_spells.tsv:56 4070=0 | teleportation_spells.tsv:59 4070=0 | teleportation_spells.tsv:62 4070=0 | teleportation_spells.tsv:64 4070=0 | teleportation_spells.tsv:67 4070=0 | teleportation_spells.tsv:70 4070=0 | teleportation_spells.tsv:74 4070=1 | teleportation_spells.tsv:77 4070=1 | teleportation_spells.tsv:80 4070=1 | teleportation_spells.tsv:83 4070=1 | teleportation_spells.tsv:86 4070=1 | teleportation_spells.tsv:89 4070=1 | teleportation_spells.tsv:95 4070=1 | teleportation_spells.tsv:98 4070=1 | teleportation_spells.tsv:102 4070=2 | teleportation_spells.tsv:105 4070=2 | teleportation_spells.tsv:108 4070=2 | teleportation_spells.tsv:111 4070=2 | teleportation_spells.tsv:114 4070=2 | teleportation_spells.tsv:117 4070=2 | teleportation_spells.tsv:120 4070=2 | teleportation_spells.tsv:123 4070=2 | teleportation_spells.tsv:127 4070=3 | teleportation_spells.tsv:130 4070=3 | teleportation_spells.tsv:133 4070=3 | teleportation_spells.tsv:136 4070=3 | teleportation_spells.tsv:143 4070=3 | teleportation_spells.tsv:146 4070=3 | teleportation_spells.tsv:149 4070=3 | teleportation_spells.tsv:152 4070=3 | teleportation_spells.tsv:155 4070=3 | teleportation_spells.tsv:158 4070=3 | teleportation_spells.tsv:161 4070=3 | teleportation_spells_home.tsv:4 4070=0 | teleportation_spells_home.tsv:5 4070=0 | teleportation_spells_home.tsv:6 4070=0 | teleportation_spells_home.tsv:7 4070=0 | teleportation_spells_home.tsv:11 4070=1 | teleportation_spells_home.tsv:12 4070=1 | teleportation_spells_home.tsv:13 4070=1 | teleportation_spells_home.tsv:14 4070=1 | teleportation_spells_home.tsv:18 4070=2 | teleportation_spells_home.tsv:19 4070=2 | teleportation_spells_home.tsv:20 4070=2 | teleportation_spells_home.tsv:21 4070=2 | teleportation_spells_home.tsv:25 4070=3 | teleportation_spells_home.tsv:26 4070=3 | teleportation_spells_home.tsv:27 4070=3 | teleportation_spells_home.tsv:28 4070=3
varbit	4441	FENK_BUILT_BRIDGE_NORTH	=2	4	agility_shortcuts.tsv:498 4441=2 | agility_shortcuts.tsv:499 4441=2 | agility_shortcuts.tsv:500 4441=2 | agility_shortcuts.tsv:501 4441=2
varbit	4458	ARDOUGNE_DIARY_EASY_COMPLETE	=1	1	teleportation_items.tsv:3 4458=1
varbit	4459	ARDOUGNE_DIARY_MEDIUM_COMPLETE	=1	1	teleportation_items.tsv:4 4459=1
varbit	4460	ARDOUGNE_DIARY_HARD_COMPLETE	=1	3	teleportation_items.tsv:5 4460=1 | teleportation_items.tsv:160 4460=1 | teleportation_spells.tsv:64 4460=1
varbit	4461	ARDOUGNE_DIARY_ELITE_COMPLETE	=1	19	teleportation_items.tsv:6 4461=1 | teleportation_items.tsv:309 4461=1 | teleportation_items.tsv:310 4461=1 | teleportation_items.tsv:311 4461=1 | teleportation_items.tsv:312 4461=1 | teleportation_items.tsv:313 4461=1 | teleportation_items.tsv:314 4461=1 | teleportation_items.tsv:315 4461=1 | teleportation_items.tsv:316 4461=1 | teleportation_items.tsv:317 4461=1 | teleportation_items.tsv:318 4461=1 | teleportation_items.tsv:319 4461=1 | teleportation_items.tsv:320 4461=1 | teleportation_items.tsv:321 4461=1 | teleportation_items.tsv:322 4461=1 | teleportation_items.tsv:323 4461=1 | teleportation_items.tsv:324 4461=1 | teleportation_items.tsv:325 4461=1 | teleportation_items.tsv:326 4461=1
varbit	4462	FALADOR_DIARY_EASY_COMPLETE	=1	3	agility_shortcuts.tsv:89 4462=1 | agility_shortcuts.tsv:90 4462=1 | agility_shortcuts.tsv:91 4462=1
varbit	4464	FALADOR_DIARY_HARD_COMPLETE	=1	4	agility_shortcuts.tsv:486 4464=1 | agility_shortcuts.tsv:487 4464=1 | agility_shortcuts.tsv:488 4464=1 | agility_shortcuts.tsv:489 4464=1
varbit	4465	FALADOR_DIARY_ELITE_COMPLETE	=1	18	teleportation_items.tsv:309 4465=1 | teleportation_items.tsv:310 4465=1 | teleportation_items.tsv:311 4465=1 | teleportation_items.tsv:312 4465=1 | teleportation_items.tsv:313 4465=1 | teleportation_items.tsv:314 4465=1 | teleportation_items.tsv:315 4465=1 | teleportation_items.tsv:316 4465=1 | teleportation_items.tsv:317 4465=1 | teleportation_items.tsv:318 4465=1 | teleportation_items.tsv:319 4465=1 | teleportation_items.tsv:320 4465=1 | teleportation_items.tsv:321 4465=1 | teleportation_items.tsv:322 4465=1 | teleportation_items.tsv:323 4465=1 | teleportation_items.tsv:324 4465=1 | teleportation_items.tsv:325 4465=1 | teleportation_items.tsv:326 4465=1
varbit	4467	WILDERNESS_DIARY_MEDIUM_COMPLETE	=0;=1	2	transports.tsv:3257 4467=0 | transports.tsv:3258 4467=1
varbit	4468	WILDERNESS_DIARY_HARD_COMPLETE	=0;=1	4	teleportation_items.tsv:28 4468=1 | transports.tsv:3257 4468=0 | transports.tsv:3258 4468=0 | transports.tsv:3259 4468=1
varbit	4469	WILDERNESS_DIARY_ELITE_COMPLETE	=0;=1	23	teleportation_items.tsv:29 4469=1 | teleportation_items.tsv:309 4469=1 | teleportation_items.tsv:310 4469=1 | teleportation_items.tsv:311 4469=1 | teleportation_items.tsv:312 4469=1 | teleportation_items.tsv:313 4469=1 | teleportation_items.tsv:314 4469=1 | teleportation_items.tsv:315 4469=1 | teleportation_items.tsv:316 4469=1 | teleportation_items.tsv:317 4469=1 | teleportation_items.tsv:318 4469=1 | teleportation_items.tsv:319 4469=1 | teleportation_items.tsv:320 4469=1 | teleportation_items.tsv:321 4469=1 | teleportation_items.tsv:322 4469=1 | teleportation_items.tsv:323 4469=1 | teleportation_items.tsv:324 4469=1 | teleportation_items.tsv:325 4469=1 | teleportation_items.tsv:326 4469=1 | transports.tsv:3257 4469=0 | transports.tsv:3258 4469=0 | transports.tsv:3259 4469=0 | transports.tsv:3260 4469=1
varbit	4473	WESTERN_DIARY_HARD_COMPLETE	=1	1	teleportation_items.tsv:31 4473=1
varbit	4474	WESTERN_DIARY_ELITE_COMPLETE	=1	19	teleportation_items.tsv:32 4474=1 | teleportation_items.tsv:309 4474=1 | teleportation_items.tsv:310 4474=1 | teleportation_items.tsv:311 4474=1 | teleportation_items.tsv:312 4474=1 | teleportation_items.tsv:313 4474=1 | teleportation_items.tsv:314 4474=1 | teleportation_items.tsv:315 4474=1 | teleportation_items.tsv:316 4474=1 | teleportation_items.tsv:317 4474=1 | teleportation_items.tsv:318 4474=1 | teleportation_items.tsv:319 4474=1 | teleportation_items.tsv:320 4474=1 | teleportation_items.tsv:321 4474=1 | teleportation_items.tsv:322 4474=1 | teleportation_items.tsv:323 4474=1 | teleportation_items.tsv:324 4474=1 | teleportation_items.tsv:325 4474=1 | teleportation_items.tsv:326 4474=1
varbit	4477	KANDARIN_DIARY_HARD_COMPLETE	=1	2	teleportation_items.tsv:25 4477=1 | teleportation_spells.tsv:50 4477=1
varbit	4478	KANDARIN_DIARY_ELITE_COMPLETE	=1	19	teleportation_items.tsv:26 4478=1 | teleportation_items.tsv:309 4478=1 | teleportation_items.tsv:310 4478=1 | teleportation_items.tsv:311 4478=1 | teleportation_items.tsv:312 4478=1 | teleportation_items.tsv:313 4478=1 | teleportation_items.tsv:314 4478=1 | teleportation_items.tsv:315 4478=1 | teleportation_items.tsv:316 4478=1 | teleportation_items.tsv:317 4478=1 | teleportation_items.tsv:318 4478=1 | teleportation_items.tsv:319 4478=1 | teleportation_items.tsv:320 4478=1 | teleportation_items.tsv:321 4478=1 | teleportation_items.tsv:322 4478=1 | teleportation_items.tsv:323 4478=1 | teleportation_items.tsv:324 4478=1 | teleportation_items.tsv:325 4478=1 | teleportation_items.tsv:326 4478=1
varbit	4480	VARROCK_DIARY_MEDIUM_COMPLETE	=1	2	teleportation_items.tsv:153 4480=1 | teleportation_spells.tsv:6 4480=1
varbit	4482	VARROCK_DIARY_ELITE_COMPLETE	=1	18	teleportation_items.tsv:309 4482=1 | teleportation_items.tsv:310 4482=1 | teleportation_items.tsv:311 4482=1 | teleportation_items.tsv:312 4482=1 | teleportation_items.tsv:313 4482=1 | teleportation_items.tsv:314 4482=1 | teleportation_items.tsv:315 4482=1 | teleportation_items.tsv:316 4482=1 | teleportation_items.tsv:317 4482=1 | teleportation_items.tsv:318 4482=1 | teleportation_items.tsv:319 4482=1 | teleportation_items.tsv:320 4482=1 | teleportation_items.tsv:321 4482=1 | teleportation_items.tsv:322 4482=1 | teleportation_items.tsv:323 4482=1 | teleportation_items.tsv:324 4482=1 | teleportation_items.tsv:325 4482=1 | teleportation_items.tsv:326 4482=1
varbit	4485	DESERT_DIARY_HARD_COMPLETE	=1	2	teleportation_items.tsv:11 4485=1 | teleportation_items.tsv:347 4485=1
varbit	4486	DESERT_DIARY_ELITE_COMPLETE	=1	20	teleportation_items.tsv:12 4486=1 | teleportation_items.tsv:13 4486=1 | teleportation_items.tsv:309 4486=1 | teleportation_items.tsv:310 4486=1 | teleportation_items.tsv:311 4486=1 | teleportation_items.tsv:312 4486=1 | teleportation_items.tsv:313 4486=1 | teleportation_items.tsv:314 4486=1 | teleportation_items.tsv:315 4486=1 | teleportation_items.tsv:316 4486=1 | teleportation_items.tsv:317 4486=1 | teleportation_items.tsv:318 4486=1 | teleportation_items.tsv:319 4486=1 | teleportation_items.tsv:320 4486=1 | teleportation_items.tsv:321 4486=1 | teleportation_items.tsv:322 4486=1 | teleportation_items.tsv:323 4486=1 | teleportation_items.tsv:324 4486=1 | teleportation_items.tsv:325 4486=1 | teleportation_items.tsv:326 4486=1
varbit	4487	MORYTANIA_DIARY_EASY_COMPLETE	=1	1	teleportation_items.tsv:15 4487=1
varbit	4488	MORYTANIA_DIARY_MEDIUM_COMPLETE	=1	1	teleportation_items.tsv:16 4488=1
varbit	4489	MORYTANIA_DIARY_HARD_COMPLETE	=1	1	teleportation_items.tsv:18 4489=1
varbit	4490	MORYTANIA_DIARY_ELITE_COMPLETE	=1	19	teleportation_items.tsv:17 4490=1 | teleportation_items.tsv:309 4490=1 | teleportation_items.tsv:310 4490=1 | teleportation_items.tsv:311 4490=1 | teleportation_items.tsv:312 4490=1 | teleportation_items.tsv:313 4490=1 | teleportation_items.tsv:314 4490=1 | teleportation_items.tsv:315 4490=1 | teleportation_items.tsv:316 4490=1 | teleportation_items.tsv:317 4490=1 | teleportation_items.tsv:318 4490=1 | teleportation_items.tsv:319 4490=1 | teleportation_items.tsv:320 4490=1 | teleportation_items.tsv:321 4490=1 | teleportation_items.tsv:322 4490=1 | teleportation_items.tsv:323 4490=1 | teleportation_items.tsv:324 4490=1 | teleportation_items.tsv:325 4490=1 | teleportation_items.tsv:326 4490=1
varbit	4491	FREMENNIK_DIARY_EASY_COMPLETE	=1	3	teleportation_items.tsv:20 4491=1 | teleportation_items.tsv:21 4491=1 | teleportation_items.tsv:22 4491=1
varbit	4493	FREMENNIK_DIARY_HARD_COMPLETE	=0;=1	9	teleportation_items.tsv:339 4493=1 | teleportation_items.tsv:343 4493=1 | teleportation_items.tsv:365 4493=1 | teleportation_portals_poh.tsv:118 4493=0 | teleportation_portals_poh.tsv:119 4493=0 | teleportation_portals_poh.tsv:120 4493=0 | teleportation_portals_poh.tsv:121 4493=1 | teleportation_portals_poh.tsv:122 4493=1 | teleportation_portals_poh.tsv:123 4493=1
varbit	4494	FREMENNIK_DIARY_ELITE_COMPLETE	=1	23	teleportation_items.tsv:23 4494=1 | teleportation_items.tsv:309 4494=1 | teleportation_items.tsv:310 4494=1 | teleportation_items.tsv:311 4494=1 | teleportation_items.tsv:312 4494=1 | teleportation_items.tsv:313 4494=1 | teleportation_items.tsv:314 4494=1 | teleportation_items.tsv:315 4494=1 | teleportation_items.tsv:316 4494=1 | teleportation_items.tsv:317 4494=1 | teleportation_items.tsv:318 4494=1 | teleportation_items.tsv:319 4494=1 | teleportation_items.tsv:320 4494=1 | teleportation_items.tsv:321 4494=1 | teleportation_items.tsv:322 4494=1 | teleportation_items.tsv:323 4494=1 | teleportation_items.tsv:324 4494=1 | teleportation_items.tsv:325 4494=1 | teleportation_items.tsv:326 4494=1 | teleportation_items.tsv:340 4494=1 | teleportation_items.tsv:341 4494=1 | teleportation_items.tsv:344 4494=1 | teleportation_items.tsv:345 4494=1
varbit	4496	LUMBRIDGE_DIARY_MEDIUM_COMPLETE	=1	1	teleportation_items.tsv:34 4496=1
varbit	4497	LUMBRIDGE_DIARY_HARD_COMPLETE	=1	1	teleportation_items.tsv:35 4497=1
varbit	4498	LUMBRIDGE_DIARY_ELITE_COMPLETE	=1	18	teleportation_items.tsv:309 4498=1 | teleportation_items.tsv:310 4498=1 | teleportation_items.tsv:311 4498=1 | teleportation_items.tsv:312 4498=1 | teleportation_items.tsv:313 4498=1 | teleportation_items.tsv:314 4498=1 | teleportation_items.tsv:315 4498=1 | teleportation_items.tsv:316 4498=1 | teleportation_items.tsv:317 4498=1 | teleportation_items.tsv:318 4498=1 | teleportation_items.tsv:319 4498=1 | teleportation_items.tsv:320 4498=1 | teleportation_items.tsv:321 4498=1 | teleportation_items.tsv:322 4498=1 | teleportation_items.tsv:323 4498=1 | teleportation_items.tsv:324 4498=1 | teleportation_items.tsv:325 4498=1 | teleportation_items.tsv:326 4498=1
varbit	4541	WILDERNESS_SWORD_LAST_TELEPORT	=0	1	teleportation_items.tsv:28 4541=0
varbit	4542	MORYTANIA_LEGS_LAST_TELEPORT	<2;<5	2	teleportation_items.tsv:15 4542<2 | teleportation_items.tsv:16 4542<5
varbit	4548	YANILLE_TELEPORT_LOCATION	=0;=1	6	teleportation_portals_poh.tsv:136 4548=0 | teleportation_portals_poh.tsv:137 4548=0 | teleportation_portals_poh.tsv:138 4548=0 | teleportation_portals_poh.tsv:139 4548=1 | teleportation_portals_poh.tsv:140 4548=1 | teleportation_portals_poh.tsv:141 4548=1
varbit	4552	LUMBRIDGE_CABBAGE_TELEPORT	<3	1	teleportation_items.tsv:34 4552<3
varbit	4558	DESERT_NARDAH_TELEPORT	=0	1	teleportation_items.tsv:11 4558=0
varbit	4560	SEERS_CAMELOT_TELEPORT	=0;=1	6	teleportation_portals_poh.tsv:26 4560=0 | teleportation_portals_poh.tsv:27 4560=0 | teleportation_portals_poh.tsv:28 4560=0 | teleportation_portals_poh.tsv:29 4560=1 | teleportation_portals_poh.tsv:30 4560=1 | teleportation_portals_poh.tsv:31 4560=1
varbit	4561	SEERS_SHERLOCK_TELEPORT	=0	1	teleportation_items.tsv:25 4561=0
varbit	4564	WESTERN_PISC_TELEPORT	=0	1	teleportation_items.tsv:31 4564=0
varbit	4566	KARAMJA_DIARY_ELITE_COMPLETE	=1	19	teleportation_items.tsv:9 4566=1 | teleportation_items.tsv:309 4566=1 | teleportation_items.tsv:310 4566=1 | teleportation_items.tsv:311 4566=1 | teleportation_items.tsv:312 4566=1 | teleportation_items.tsv:313 4566=1 | teleportation_items.tsv:314 4566=1 | teleportation_items.tsv:315 4566=1 | teleportation_items.tsv:316 4566=1 | teleportation_items.tsv:317 4566=1 | teleportation_items.tsv:318 4566=1 | teleportation_items.tsv:319 4566=1 | teleportation_items.tsv:320 4566=1 | teleportation_items.tsv:321 4566=1 | teleportation_items.tsv:322 4566=1 | teleportation_items.tsv:323 4566=1 | teleportation_items.tsv:324 4566=1 | teleportation_items.tsv:325 4566=1 | teleportation_items.tsv:326 4566=1
varbit	4585	VARROCK_GE_TELEPORT	=0;=1	6	teleportation_portals_poh.tsv:62 4585=1 | teleportation_portals_poh.tsv:63 4585=1 | teleportation_portals_poh.tsv:64 4585=1 | teleportation_portals_poh.tsv:124 4585=0 | teleportation_portals_poh.tsv:125 4585=0 | teleportation_portals_poh.tsv:126 4585=0
varbit	4744	POH_TELE_TOGGLE	=0;=1	61	teleportation_items.tsv:120 4744=0 | teleportation_items.tsv:121 4744=1 | teleportation_items.tsv:123 4744=1 | teleportation_items.tsv:124 4744=0 | teleportation_items.tsv:126 4744=1 | teleportation_items.tsv:127 4744=0 | teleportation_items.tsv:129 4744=1 | teleportation_items.tsv:130 4744=0 | teleportation_items.tsv:132 4744=1 | teleportation_items.tsv:133 4744=0 | teleportation_items.tsv:135 4744=1 | teleportation_items.tsv:136 4744=0 | teleportation_items.tsv:138 4744=1 | teleportation_items.tsv:139 4744=0 | teleportation_items.tsv:141 4744=1 | teleportation_items.tsv:142 4744=0 | teleportation_items.tsv:144 4744=1 | teleportation_items.tsv:145 4744=0 | teleportation_items.tsv:147 4744=1 | teleportation_items.tsv:148 4744=0 | teleportation_items.tsv:235 4744=0 | teleportation_items.tsv:237 4744=1 | teleportation_items.tsv:239 4744=1 | teleportation_items.tsv:241 4744=1 | teleportation_items.tsv:243 4744=1 | teleportation_items.tsv:245 4744=1 | teleportation_items.tsv:247 4744=1 | teleportation_items.tsv:249 4744=1 | teleportation_items.tsv:251 4744=1 | teleportation_items.tsv:253 4744=1 | teleportation_items.tsv:271 4744=0 | teleportation_items.tsv:273 4744=1 | teleportation_items.tsv:275 4744=1 | teleportation_items.tsv:277 4744=1 | teleportation_items.tsv:279 4744=1 | teleportation_items.tsv:281 4744=1 | teleportation_items.tsv:283 4744=1 | teleportation_items.tsv:285 4744=1 | teleportation_items.tsv:287 4744=1 | teleportation_items.tsv:289 4744=1 | teleportation_spells.tsv:17 4744=0 | teleportation_spells.tsv:18 4744=0 | teleportation_spells.tsv:18 4744=1 | teleportation_spells.tsv:20 4744=1 | teleportation_spells.tsv:21 4744=0 | teleportation_spells.tsv:23 4744=1 | teleportation_spells.tsv:24 4744=0 | teleportation_spells.tsv:26 4744=1 | teleportation_spells.tsv:27 4744=0 | teleportation_spells.tsv:29 4744=1 | teleportation_spells.tsv:30 4744=0 | teleportation_spells.tsv:32 4744=1 | teleportation_spells.tsv:33 4744=0 | teleportation_spells.tsv:35 4744=1 | teleportation_spells.tsv:36 4744=0 | teleportation_spells.tsv:38 4744=1 | teleportation_spells.tsv:39 4744=0 | teleportation_spells.tsv:41 4744=1 | teleportation_spells.tsv:42 4744=0 | teleportation_spells.tsv:44 4744=1 | teleportation_spells.tsv:45 4744=0
varbit	4819	CHINCHOMPA_TELEPORTS	<5	2	teleportation_items.tsv:265 4819<5 | teleportation_items.tsv:266 4819<5
varbit	5005	FREMENNIK_BASIC_TELEPORT	<3;<5;=0	3	teleportation_items.tsv:20 5005=0 | teleportation_items.tsv:21 5005<3 | teleportation_items.tsv:22 5005<5
